id,tag,role,label,line,handler,disabled,href,issue
"I0001","a","","Apri percorso","793","no","no","directions.toString()",""
"I0002","button","","<dinamico>","1428","yes","no","",""
"I0003","button","","Attività recenti","1442","yes","no","",""
"I0004","button","","`Apri elenco viaggiatori, ${people.length} persone`","1456","yes","no","",""
"I0005","button","","Chiudi notifiche","1472","yes","no","",""
"I0006","button","","<dinamico>","1485","yes","no","",""
"I0007","button","","Chiudi pannello personale","1525","yes","no","",""
"I0008","button","","Vista pubblica","1533","yes","no","",""
"I0009","button","","Vista gruppo","1539","yes","conditional-or-yes","",""
"I0010","button","","Attiva notifiche","1552","yes","no","",""
"I0011","button","","Condividi posizione","1565","yes","no","",""
"I0012","button","","Cancella posizione","1568","yes","no","",""
"I0013","button","","<dinamico>","1569","yes","no","",""
"I0014","button","","<dinamico>","1581","yes","no","",""
"I0015","button","","Vedi il gruppo","1595","yes","no","",""
"I0016","button","","Apri la mappa reale del viaggio","1616","yes","no","",""
"I0017","button","","<dinamico>","1634","yes","no","",""
"I0018","button","","<dinamico>","1659","yes","no","",""
"I0019","button","","Giorno precedente","1665","yes","conditional-or-yes","",""
"I0020","button","","Giorno successivo","1678","yes","conditional-or-yes","",""
"I0021","button","","`${todayTripIndex === index ? ""Oggi, "" : """"}Giorno ${index + 1}, ${day.date}, ${day.city}`","1688","yes","no","",""
"I0022","button","","<dinamico>","1718","yes","no","",""
"I0023","button","","Vedi questa tappa sulla mappa","1769","yes","no","",""
"I0024","button","","Apri mappa completa","1788","yes","no","",""
"I0025","input","","<dinamico>","1799","yes","no","",""
"I0026","button","","Percorso","1813","yes","no","",""
"I0027","button","","Aggiungi ricordo","1816","yes","no","",""
"I0028","button","","← Giorno precedente","1825","yes","conditional-or-yes","",""
"I0029","button","","Giorno successivo →","1831","yes","conditional-or-yes","",""
"I0030","button","","← Torna alla Bacheca","1950","yes","no","",""
"I0031","button","","Vedi tutto","1959","yes","no","",""
"I0032","button","","<dinamico>","1988","yes","no","",""
"I0033","button","","<dinamico>","2302","yes","no","",""
"I0034","button","","Modifica","2332","yes","no","",""
"I0035","input","","Inserisci il tuo nome una sola volta","2337","yes","no","",""
"I0036","button","","Salva","2342","yes","conditional-or-yes","",""
"I0037","button","","<dinamico>","2362","yes","no","",""
"I0038","button","","Chiudi","2399","yes","no","",""
"I0039","select","","<dinamico>","2408","yes","no","",""
"I0040","textarea","","Racconta questo momento…","2419","yes","no","",""
"I0041","select","","<dinamico>","2426","yes","no","",""
"I0042","input","","Aggiungi luogo (es. Taj Mahal)","2438","yes","no","",""
"I0043","button","","<dinamico>","2446","yes","conditional-or-yes","",""
"I0044","button","","Rimuovi","2450","yes","no","",""
"I0045","button","","<dinamico>","2462","yes","no","",""
"I0046","input","","<dinamico>","2487","yes","no","",""
"I0047","input","","<dinamico>","2496","yes","no","",""
"I0048","input","","<dinamico>","2505","yes","no","",""
"I0049","input","","<dinamico>","2514","yes","no","",""
"I0050","button","","<dinamico>","2521","yes","conditional-or-yes","",""
"I0051","button","","Vedi il gruppo","2560","yes","no","",""
"I0052","button","","Chiudi elenco viaggiatori","2594","yes","no","",""
"I0053","button","","`Rimuovi ${file.name}`","2650","yes","no","",""
"I0054","button","","<dinamico>","2732","yes","no","",""
"I0055","button","","Contenuto precedente","2779","yes","conditional-or-yes","",""
"I0056","button","","Contenuto successivo","2787","yes","conditional-or-yes","",""
"I0057","button","","`Vai al contenuto ${index + 1}`","2801","yes","no","",""
"I0058","a","","<dinamico>","3056","no","no","`https://www.google.com/maps?q=${p.latitude},${p.longitude}`",""
"I0059","button","","Altre opzioni","3071","yes","no","",""
"I0060","button","","Elimina","3078","yes","no","",""
"I0061","button","","Mi piace","3102","yes","no","",""
"I0062","button","","Commenta","3105","yes","no","",""
"I0063","button","","Condividi","3111","yes","no","",""
"I0064","button","","Salva","3117","yes","no","",""
"I0065","button","","Piace a","3127","yes","no","",""
"I0066","input","","Modifica commento","3154","yes","no","",""
"I0067","button","","Salva modifica commento","3159","yes","no","",""
"I0068","button","","Annulla modifica commento","3165","yes","no","",""
"I0069","button","","Modifica","3177","yes","no","",""
"I0070","button","","Elimina","3185","yes","no","",""
"I0071","button","","<dinamico>","3214","yes","no","",""
"I0072","textarea","","author ? ""Scrivi un commento…"" : ""Inserisci il tuo nome sopra""","3224","yes","no","",""
"I0073","input","","<dinamico>","3239","yes","no","",""
"I0074","button","","Invia commento","3253","yes","conditional-or-yes","",""
"I0075","button","option","<dinamico>","3264","yes","no","",""
"I0076","button","","Annulla","3293","yes","no","",""
"I0077","button","","Elimina","3294","yes","no","",""
"I0078","button","","Annulla","3306","yes","no","",""
"I0079","button","","Elimina","3307","yes","no","",""
"I0080","button","","Annulla","3432","yes","no","",""
"I0081","input","","<dinamico>","3457","yes","no","",""
"I0082","input","","Nome *","3475","yes","no","",""
"I0083","input","","Cognome","3480","yes","no","",""
"I0084","input","","Età","3486","yes","no","",""
"I0085","input","","Lavoro","3491","yes","no","",""
"I0086","input","","Da dove vieni (es. Milano)","3497","yes","no","",""
"I0087","textarea","","Raccontaci qualcosa di te…","3502","yes","no","",""
"I0088","select","","<dinamico>","3509","yes","no","",""
"I0089","button","","<dinamico>","3522","yes","conditional-or-yes","",""
"I0090","button","","Modifica profilo","3573","yes","no","",""
"I0091","button","","Documenti e posizione","3594","yes","no","",""
"I0092","button","","Crea invito personale","3607","yes","no","",""
"I0093","button","","Copia link","3614","yes","no","",""
"I0094","button","","Blocca","3932","yes","no","",""
"I0095","button","","<dinamico>","3945","yes","no","",""
"I0096","button","","Disconnetti tutti i dispositivi","3951","yes","no","",""
"I0097","button","","Viaggiatore","3962","yes","no","",""
"I0098","button","","Coordinatore","3969","yes","no","",""
"I0099","select","","<dinamico>","3980","yes","no","",""
"I0100","button","","`${person.name}: ${label} presente, apri`","4062","yes","no","",""
"I0101","button","","Apri","4107","yes","no","",""
"I0102","button","","Scarica","4108","yes","no","",""
"I0103","input","","<dinamico>","4111","yes","no","",""
"I0104","button","","Elimina","4117","yes","no","",""
"I0105","input","","<dinamico>","4125","yes","no","",""
"I0106","button","","Vai al Gruppo","4146","yes","no","",""
"I0107","button","","Annulla","4156","yes","no","",""
"I0108","button","","Elimina","4157","yes","no","",""
"I0109","button","","Aggiorna ora","4172","yes","conditional-or-yes","",""
"I0110","button","","<dinamico>","4176","yes","no","",""
"I0111","a","","Google Maps","4201","no","no","`https://www.google.com/maps/search/?api=1&query=${x.latitude},${x.longitude}`",""
"I0112","a","","Naviga","4208","no","no","`https://www.google.com/maps/dir/?api=1&destination=${x.latitude},${x.longitude}`",""
"I0113","button","","Cancella posizione","4216","yes","no","",""
"I0114","input","","Password","4262","yes","no","",""
"I0115","button","","Accedi","4269","yes","no","",""
